         407929 function calls (402446 primitive calls) in 1.088 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 {method 'find_module' of 'zipimport.zipimporter' objects}
       29    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/decoder.py:461(StringDecoder)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/biffh.py:27(XLRDError)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:224(isdigit)
        3    0.000    0.000    0.001    0.000 ./pyproject/gas/gas_room_mgr/gas_room_obj.py:122(NoticeMemberEvent)
        1    0.000    0.000    0.000    0.000 ./pyproject/excel2json.py:19(UniPrinter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urlparse.py:73(ResultMixin)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/six.py:86(_LazyDescr)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/plistlib.py:291(_InternalDict)
       46    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:1343(postParse)
       94    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:4849(<genexpr>)
       49    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:2785(__str__)
       92    0.000    0.000    0.004    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1459(get_metadata)
      349    0.002    0.000    0.009    0.000 /usr/lib/python2.7/sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.000    0.000 <string>:1(_Version)
      978    0.001    0.000    0.001    0.000 /usr/lib/python2.7/sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:399(UnknownExtra)
        9    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/type_checkers.py:139(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/xldate.py:35(XLDateBadDatemode)
        1    0.000    0.000    0.000    0.000 ./pyproject/entity/base_entity.py:3(<module>)
       60    0.000    0.000    0.007    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1870(get_metadata_lines)
       28    0.001    0.000    0.001    0.000 <string>:34(once_timer)
      172    0.002    0.000    0.008    0.000 /usr/lib/python2.7/posixpath.py:380(_joinrealpath)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:2004(suppress)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:624(WorkingSet)
       93    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'once_timer_internal_' of 'ff.ffscene_t_internal_' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3089(LineStart)
        1    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/descriptor.py:633(EnumValueDescriptor)
       50    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/six.py:177(_add_module)
        1    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/type_checkers.py:191(Uint32ValueChecker)
        1    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/decoder.py:288(_FloatDecoder)
        1    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:259(ParseFatalException)
        6    0.000    0.000    0.006    0.001 /usr/lib/python2.7/zipfile.py:726(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/os.py:512(getenv)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/io.py:79(TextIOBase)
       39    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:882(_AddClearMethod)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1958(find_nothing)
       39    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/descriptor_pool.py:128(AddDescriptor)
        1    0.000    0.000    0.000    0.000 ./pyproject/util/gm_tool.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:1452(_FifoCache)
       39    0.000    0.000    0.002    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:549(_AddPropertiesForFields)
       23    0.000    0.000    0.009    0.000 ./pyproject/gas/gas_scene/gas_scene_mgr.py:99(Gac2GasRequestChangeScene)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/random.py:805(SystemRandom)
       92    0.000    0.000    0.004    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1465(get_metadata_lines)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:2922(__str__)
       30    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:2701(__str__)
       95    0.000    0.000    0.000    0.000 {_sre.compile}
     1237    0.003    0.000    0.004    0.000 /usr/lib/python2.7/posixpath.py:61(join)
       88    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:2925(cls)
        1    0.000    0.000    0.191    0.191 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:640(_build_master)
        1    0.000    0.000    0.000    0.000 ./pyproject/gas/gas_room_mgr/gas_room_mgr.py:14(RoomService)
        1    0.000    0.000    0.001    0.001 build/bdist.linux-x86_64/egg/google/protobuf/internal/containers.py:40(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/encodings/latin_1.py:13(Codec)
       45    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:1167(setName)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3063(GoToColumn)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1540(_setup_prefix)
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/re.py:208(escape)
       39    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:1244(_AddWhichOneofMethod)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3343(_ErrorStop)
       54    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/descriptor_pool.py:159(AddFileDescriptor)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:283(RecursiveGrammarException)
        1    0.006    0.006    0.170    0.170 /usr/lib/python2.7/email/utils.py:5(<module>)
      105    0.000    0.000    0.000    0.000 {unichr}
        1    0.000    0.000    0.000    0.000 ./pyproject/compment/compment_money.py:6(PlayerMoneyMgr)
       75    0.001    0.000    0.025    0.000 ./pylib/ffext.py:333(impl_func)
        1    0.000    0.000    0.000    0.000 <string>:14(CommentProxy)
        5    0.000    0.000    0.000    0.000 /usr/lib/python2.7/zipfile.py:797(__enter__)
     4156    0.041    0.000    0.087    0.000 /usr/local/lib/python2.7/dist-packages/packaging/version.py:131(_legacy_cmpkey)
        1    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:77(GeneratedProtocolMessageType)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1533(EggProvider)
        3    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/containers.py:350(__init__)
       49    0.001    0.000    0.005    0.000 ./pyproject/db/dbs_client.py:18(DoAsynCall)
      329    0.000    0.000    0.000    0.000 /usr/lib/python2.7/zipfile.py:383(_decodeExtra)
        1    0.000    0.000    0.000    0.000 ./pyproject/util/enum_def.py:4(<module>)
      101    0.001    0.000    0.001    0.000 ./pylib/ffext.py:313(ff_scene_call_return_msg)
        3    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/decoder.py:623(DecodeField)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:2323(Token)
       49    0.013    0.000    0.014    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/xlsx.py:615(do_row)
      804    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/packaging/version.py:352(<lambda>)
        2    0.000    0.000    0.003    0.002 /usr/local/lib/python2.7/dist-packages/pyparsing.py:1571(parseString)
       39    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:453(_AddInitMethod)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.902    0.902 build/bdist.linux-x86_64/egg/google/__init__.py:1(<module>)
        9    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/decoder.py:353(EnumDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/encodings/latin_1.py:41(getregentry)
       23    0.000    0.000    0.000    0.000 ./pyproject/entity/entity_mgr.py:10(DelEntity)
       12    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/descriptor_database.py:36(Error)
       60    0.000    0.000    0.000    0.000 /usr/lib/python2.7/pkgutil.py:237(__init__)
        1    0.000    0.000    0.018    0.018 /usr/lib/python2.7/ssl.py:88(<module>)
      491    0.000    0.000    0.000    0.000 {id}
      157    0.001    0.000    0.004    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:279(_AttachFieldHelpers)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/xlsx.py:417(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/email/errors.py:17(HeaderParseError)
        1    0.000    0.000    0.004    0.004 /usr/lib/python2.7/random.py:100(seed)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/contextlib.py:9(GeneratorContextManager)
        1    0.000    0.000    0.002    0.002 /usr/lib/python2.7/plistlib.py:51(<module>)
       26    0.000    0.000    0.005    0.000 ./pyproject/gas/gas_scene/gas_scene_mgr.py:38(SynSceneInfo)
       49    0.001    0.000    0.014    0.000 ./pyproject/db/dbs_client.py:39(OnDbAsynCallReturn)
      416    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
